"datum";"y";"m";"exc_id";"zone";"veg_aanw";"beh_typ";"brand2011";"h_gem";"sdev"
"7/06/2012";2012;6;"LV2";"Excl, zone C";"ja";"EXC";"nee";NA;11,84272
"7/06/2012";2012;6;"LV2";"Excl, zone A";"ja";"EXC";"nee";NA;5,035809
"7/06/2012";2012;6;"LV2";"Excl, zone B";"ja";"EXC";"nee";NA;4,145781
"7/06/2012";2012;6;"LV2";"Begraasd, A";"ja";"BGR";"nee";NA;5,196152
"7/06/2012";2012;6;"LV2";"Begraasd, B";"ja";"BGR";"nee";NA;5,285594
"7/06/2012";2012;6;"LV2";"Begraasd, C";"ja";"BGR";"nee";NA;1,581139
"7/06/2012";2012;6;"LV2";"Begraasd, D";"ja";"BGR";"nee";NA;10,84839
"7/06/2012";2012;6;"LV1";"Excl, Centrum";"ja";"EXC";"nee";NA;9,538573
"7/06/2012";2012;6;"LV1";"Excl, zone A";"ja";"EXC";"nee";NA;7,034513
"7/06/2012";2012;6;"LV1";"Excl, zone B";"ja";"EXC";"nee";NA;7,736884
"7/06/2012";2012;6;"LV1";"Excl, zone C";"ja";"EXC";"nee";NA;12,3079
"7/06/2012";2012;6;"LV1";"Excl, zone D";"ja";"EXC";"nee";NA;14,45467
"7/06/2012";2012;6;"LV1";"Begraasd, A";"nee";"BGR";"nee";NA;0
"7/06/2012";2012;6;"LV1";"Begraasd, B";"ja";"BGR";"nee";NA;0
"7/06/2012";2012;6;"LV1";"Begraasd, C";"ja";"BGR";"nee";NA;10,38554
"7/06/2012";2012;6;"LV1";"Begraasd, D";"ja";"BGR";"nee";NA;4,833154
"7/06/2012";2012;6;"WD2";"Excl, Centrum";"nee";"EXC";"nee";NA;0,9921567
"7/06/2012";2012;6;"WD2";"Excl, zone C";"nee";"EXC";"nee";NA;4,299346
"7/06/2012";2012;6;"WD2";"Excl, zone D";"nee";"EXC";"nee";NA;0,8569568
"7/06/2012";2012;6;"WD2";"Excl, zone A";"ja";"EXC";"nee";NA;13,48089
"7/06/2012";2012;6;"WD2";"Excl, zone B";"ja";"EXC";"nee";NA;0
