ID_Exclosure_opname;Datum;jaar;maand;ID_Exclosure;ID_Exclosure_zone;Deelgebied;Vegetatie aanwezig;Begraasd/Niet Begr;Afgebrand 2011;Opmerking;Afstand_m;Hoek_gr;Bedekking mos;Bedekking kale bodem;strooisel ingezameld;bodemstalen ingezameld;H1_cm;H2_cm;H3_cm;H4_cm;H5_cm;H6_cm;H7_cm;H8_cm;H_gemd;Sdev
66;8/08/2011;2011;8;2;Excl, zone C;GB;WAAR;NB;ONWAAR;;0;0;40-50;1-5;WAAR;WAAR;13;69;89;88;75;9;15;46;50;32,09361
67;8/08/2011;2011;8;2;Excl, zone D;GB;WAAR;NB;ONWAAR;;0;0;20-30;10-20;ONWAAR;WAAR;60;72;71;53;51;96;52;84;67;15,3943
68;8/08/2011;2011;8;2;Excl, Centrum;GB;WAAR;NB;ONWAAR;;0;0;60-70;1-5;WAAR;ONWAAR;25;68;53;52;71;76;15;44;50;20,4267
69;8/08/2011;2011;8;2;Begraasd, A;GB;WAAR;B;ONWAAR;;44;140;30-40;1-5;WAAR;WAAR;56;48;57;15;23;38;59;22;40;16,62641
70;8/08/2011;2011;8;2;Begraasd, B;GB;WAAR;B;ONWAAR;;48;132;10-20;1-5;WAAR;WAAR;17;15;47;6;24;12;24;25;21;11,55151
71;8/08/2011;2011;8;2;Begraasd, C;GB;WAAR;B;ONWAAR;;50,48;166;30-40;10-20;WAAR;WAAR;36;85;51;45;84;48;53;67;59;16,99219
72;8/08/2011;2011;8;2;Begraasd, D;GB;WAAR;B;ONWAAR;;55,5;175;40-50;5-10;WAAR;WAAR;18;34;29;42;68;7;12;35;31;18,11034
73;8/08/2011;2011;8;3;Excl, zone A;WD;WAAR;NB;ONWAAR;;0;0;1-5;90-100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
74;8/08/2011;2011;8;3;Excl, zone B;WD;WAAR;NB;ONWAAR;;0;0;nvt;90-100;ONWAAR;WAAR;9;6;0;0;0;0;0;0;2;3,333073
75;8/08/2011;2011;8;3;Excl, zone C;WD;WAAR;NB;ONWAAR;;0;0;5-10;70-80;ONWAAR;WAAR;0;42;61;0;30;10;56;32;29;22,29034
76;8/08/2011;2011;8;3;Excl, zone D;WD;WAAR;NB;ONWAAR;;0;0;nvt;70-80;ONWAAR;WAAR;65;60;46;14;23;79;59;44;49;20,34545
77;8/08/2011;2011;8;3;Excl, Centrum;WD;WAAR;NB;ONWAAR;;0;0;1-5;90-100;ONWAAR;ONWAAR;0;0;0;0;0;0;0;0;0;0
78;8/08/2011;2011;8;3;Begraasd, A;WD;WAAR;B;ONWAAR;;15,75;329;nvt;80-90;ONWAAR;WAAR;0;0;23;0;40;0;0;0;8;14,28668
79;8/08/2011;2011;8;3;Begraasd, B;WD;WAAR;B;ONWAAR;;12,7;70;< 1;90-100;ONWAAR;WAAR;20;14;0;8;11;13;6;0;9;6,5
80;8/08/2011;2011;8;3;Begraasd, C;WD;WAAR;B;ONWAAR;;12,3;181;1-5;90-100;ONWAAR;WAAR;6;0;7;19;10;3;6;0;6;5,764926
81;8/08/2011;2011;8;3;Begraasd, D;WD;WAAR;B;ONWAAR;;19,4;270;nvt;90-100;ONWAAR;WAAR;23,5;6,5;21;0;0;0;0;0;6;9,423209
82;8/08/2011;2011;8;4;Excl, zone A;WD;WAAR;NB;ONWAAR;;0;0;< 1;90-100;ONWAAR;WAAR;0;7;9;13;20;14;18;0;10;7,061117
83;8/08/2011;2011;8;4;Excl, zone B;WD;WAAR;NB;ONWAAR;;0;0;nvt;90-100;ONWAAR;WAAR;30,5;19;33,5;0;0;0;0;0;10;13,93007
84;8/08/2011;2011;8;4;Excl, zone C;WD;WAAR;NB;ONWAAR;;0;0;nvt;100;ONWAAR;WAAR;2,5;0;0;0;0;0;0;0;0;0,8267973
85;8/08/2011;2011;8;4;Excl, zone D;WD;WAAR;NB;ONWAAR;;0;0;nvt;90-100;ONWAAR;WAAR;4;12;26;20;0;0;0;0;8;9,717896
86;8/08/2011;2011;8;4;Excl, Centrum;WD;WAAR;NB;ONWAAR;;0;0;nvt;100;ONWAAR;ONWAAR;0;0;0;0;0;0;0;0;0;0
87;8/08/2011;2011;8;4;Begraasd, A;WD;WAAR;B;ONWAAR;;12;350;nvt;100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
88;8/08/2011;2011;8;4;Begraasd, B;WD;WAAR;B;ONWAAR;;14;76;nvt;80-90;ONWAAR;WAAR;20;13;8;14;25;0;0;0;10;9,041571
89;8/08/2011;2011;8;4;Begraasd, C;WD;WAAR;B;ONWAAR;;12,6;191;< 1;90-100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
90;8/08/2011;2011;8;4;Begraasd, D;WD;ONWAAR;B;ONWAAR;;15,5;268;nvt;100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
91;9/08/2011;2011;8;5;Excl, zone A;LV;WAAR;NB;ONWAAR;;0;0;nvt;80-90;ONWAAR;WAAR;0;4;43;63;57;10;61;58;37;25,7779
92;9/08/2011;2011;8;5;Excl, zone B;LV;ONWAAR;NB;ONWAAR;;0;0;nvt;80-90;ONWAAR;WAAR;23;78;53;62;30;34;0;0;35;26,27261
93;9/08/2011;2011;8;5;Excl, zone C;LV;WAAR;NB;ONWAAR;;0;0;nvt;100;ONWAAR;WAAR;12;6;0;0;0;0;0;0;2;4,175823
94;9/08/2011;2011;8;5;Excl, zone D;LV;ONWAAR;NB;ONWAAR;;0;0;nvt;100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
95;9/08/2011;2011;8;5;Excl, Centrum;LV;WAAR;NB;ONWAAR;;0;0;nvt;80-90;ONWAAR;ONWAAR;10;9;0;5;0;0;11;7;5;4,408798
96;9/08/2011;2011;8;5;Begraasd, A;LV;WAAR;B;ONWAAR;;12,5;108;nvt;90-100;ONWAAR;WAAR;0;9;8,5;13;0;12;9;0;6;5,192769
97;9/08/2011;2011;8;5;Begraasd, B;LV;WAAR;B;ONWAAR;;13;192;nvt;90-100;ONWAAR;WAAR;5;8;13;14;0;0;0;0;5;5,634714
98;9/08/2011;2011;8;5;Begraasd, C;LV;WAAR;B;ONWAAR;;8,3;277;nvt;100;ONWAAR;WAAR;1,5;1,5;0;0;0;0;0;0;0;0,649519
99;9/08/2011;2011;8;5;Begraasd, D;LV;WAAR;B;ONWAAR;;10,5;348;nvt;80-90;ONWAAR;ONWAAR;46;15;12;53;42;51;25;0;30;18,84808
100;9/08/2011;2011;8;6;Excl, zone A;LV;WAAR;NB;ONWAAR;;0;0;nvt;80-90;ONWAAR;WAAR;22,5;19;0;0;0;0;0;0;5;9,027518
101;9/08/2011;2011;8;6;Excl, zone B;LV;WAAR;NB;ONWAAR;;0;0;< 1;70-80;ONWAAR;WAAR;43;62;16;49;27;8;19;16;30;17,88854
102;9/08/2011;2011;8;6;Excl, zone C;LV;WAAR;NB;ONWAAR;;0;0;nvt;60-70;ONWAAR;WAAR;18;22;35;37;21;22;19;31;26;7,034513
103;9/08/2011;2011;8;6;Excl, zone D;LV;WAAR;NB;ONWAAR;;0;0;20-30;< 1;ONWAAR;WAAR;65;82;62;75;37;49;80;71;65;14,57256
104;9/08/2011;2011;8;6;Excl, Centrum;LV;WAAR;NB;ONWAAR;;0;0;nvt;50-60;ONWAAR;ONWAAR;0;36;52;53;31;9;1;40;28;20,28392
105;9/08/2011;2011;8;6;Begraasd, A;LV;WAAR;B;ONWAAR;;24,5;343;nvt;70-80;WAAR;WAAR;16,5;12;1;12;0;7,5;28;11;11;8,325413
106;9/08/2011;2011;8;6;Begraasd, B;LV;WAAR;B;ONWAAR;;17;26;1-5;70-80;ONWAAR;WAAR;22;10;41;19,5;10,5;0;3,5;1;13;12,86574
107;9/08/2011;2011;8;6;Begraasd, C;LV;WAAR;B;ONWAAR;;16;116;nvt;50-60;ONWAAR;WAAR;23;45;47;19;30;23;60;19;33;14,44602
108;9/08/2011;2011;8;6;Begraasd, D;LV;WAAR;B;ONWAAR;;21,4;156;nvt;70-80;ONWAAR;WAAR;0;14;0;7;5;21;0;11;7;7,171994
109;26/09/2011;2011;9;1;Excl, zone A;GB;WAAR;NB;ONWAAR;;0;0;80-90;1-5;ONWAAR;WAAR;10;10;14,5;8,5;16;3;22;15,5;12;5,410854
110;26/09/2011;2011;9;1;Excl, zone B;GB;WAAR;NB;ONWAAR;;0;0;40-50;< 1;WAAR;WAAR;14;47,5;23,5;36;24,5;31;23;46;31;11,0282
111;26/09/2011;2011;9;1;Excl, zone C;GB;WAAR;NB;ONWAAR;;0;0;80-90;1-5;ONWAAR;WAAR;21;10;12;14;29;25,5;21,5;12,5;18;6,561905
112;26/09/2011;2011;9;1;Excl, zone D;GB;WAAR;NB;ONWAAR;;0;0;40-50;1-5;ONWAAR;WAAR;14,5;6,5;14;13;9;6;9;13;11;3,189338
113;26/09/2011;2011;9;1;Excl, Centrum;GB;WAAR;NB;ONWAAR;;0;0;80-90;nvt;ONWAAR;WAAR;15;8,5;11;22;24;12;27,5;12;16;6,562202
114;26/09/2011;2011;9;1;Begraasd, A;GB;WAAR;B;ONWAAR;;11;312;70-80;1-5;WAAR;WAAR;9;8;11,5;7,5;5;9;18;7;9;3,69755
115;26/09/2011;2011;9;1;Begraasd, B;GB;WAAR;B;ONWAAR;;7,3;66;20-30;1-5;ONWAAR;WAAR;5;7;7;11;11;12,5;7;7;8;2,492959
116;26/09/2011;2011;9;1;Begraasd, C;GB;WAAR;B;ONWAAR;;7;140;90-100;1-5;ONWAAR;WAAR;8,5;7,5;13;6;5;8;9;11,5;9;2,480392
117;26/09/2011;2011;9;1;Begraasd, D;GB;WAAR;B;ONWAAR;;10,8;224;80-90;1-5;ONWAAR;WAAR;26;8;9;18,5;15;14;7;16;14;5,905175
