"";"EXC_ID";"BEH_TYP";"M";"Y";"VEG_TYP";"ADF";"LIG";"DS_105";"N_DS";"NDF";"RE_NIR";"RE_NATCHEM";"VOCHT_105";"HEMCEL";"CEL";"prt_DS";"yearlocation";"monthlocation";"obs_M_Y";"datelocation";"EXC_ID_BEH_TYP"
"222";"WD1";"BGR";"jul";"2012";"P";37,96;5,81;NA;NA;67,2;7,06;NA;NA;29,24;32,15;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 BGR"
"223";"WD1";"EXC";"jul";"2012";"F";NA;NA;NA;NA;NA;8,44;NA;NA;NA;NA;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 EXC"
"224";"WD1";"EXC";"jul";"2012";"H";NA;NA;NA;NA;NA;7,95;NA;NA;NA;NA;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 EXC"
"225";"WD1";"EXC";"jul";"2012";"P";38,95;6,2;NA;NA;66,93;6,59;NA;NA;27,98;32,75;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 EXC"
"226";"WD1";"EXC";"jul";"2012";"S";NA;NA;NA;NA;NA;7,17;NA;NA;NA;NA;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 EXC"
"227";"WD2";"EXC";"jul";"2012";"H";25,88;13,94;NA;NA;38,22;9,01;NA;NA;12,34;11,94;NA;"WD2 2012";"WD2 jul";"jul 2012";"WD2 jul 2012";"WD2 EXC"
"228";"WD2";"EXC";"jul";"2012";"P";NA;NA;NA;NA;NA;11,8;NA;NA;NA;NA;NA;"WD2 2012";"WD2 jul";"jul 2012";"WD2 jul 2012";"WD2 EXC"
"229";"GB1";"BGR";"aug";"2012";"A";NA;NA;NA;NA;NA;8,01;NA;NA;NA;NA;NA;"GB1 2012";"GB1 aug";"aug 2012";"GB1 aug 2012";"GB1 BGR"
"230";"GB1";"BGR";"aug";"2012";"F";31,76;6,78;NA;NA;57,33;7,7;NA;NA;25,57;24,98;NA;"GB1 2012";"GB1 aug";"aug 2012";"GB1 aug 2012";"GB1 BGR"
"231";"GB2";"BGR";"aug";"2012";"A";NA;NA;NA;NA;NA;14,11;NA;NA;NA;NA;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"232";"GB2";"BGR";"aug";"2012";"F";37,57;7,97;NA;NA;63,74;8,63;NA;NA;26,17;29,6;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"233";"GB2";"BGR";"aug";"2012";"P";36,77;6,34;NA;NA;64,65;12,01;NA;NA;27,88;30,43;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"234";"GB2";"BGR";"aug";"2012";"S";47,02;8,95;NA;NA;79,65;5,48;NA;NA;32,63;38,07;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"235";"GB2";"BGR";"aug";"2012";"A";NA;NA;NA;NA;NA;7,32;NA;NA;NA;NA;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"236";"GB2";"EXC";"aug";"2012";"F";NA;NA;NA;NA;NA;10,06;NA;NA;NA;NA;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 EXC"
"237";"GB2";"EXC";"aug";"2012";"P";38,3;6,86;NA;NA;67,63;8,19;NA;NA;29,33;31,44;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 EXC"
"238";"GB2";"EXC";"aug";"2012";"S";37,7;10,72;NA;NA;62,38;5,89;NA;NA;24,68;26,98;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 EXC"
"239";"LV1";"BGR";"aug";"2012";"F";NA;NA;NA;NA;NA;13,36;NA;NA;NA;NA;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 BGR"
"240";"LV1";"BGR";"aug";"2012";"P";41,73;6,82;NA;NA;69,26;5,49;NA;NA;27,53;34,91;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 BGR"
