ID;EXC_ID;BEH_TYP;M;Y;VEG_TYP;ADF;ADL;DS_105;N_DS;NDF;RE;RE_DS;VOCHT_105
225;WD1;EXC;jul;2012;P;38,95;6,20;;;66,93;6,59;;
226;WD1;EXC;jul;2012;S;;;;;;7,17;;
227;WD2;EXC;jul;2012;H;25,88;13,94;;;38,22;9,01;;
228;WD2;EXC;jul;2012;P;;;;;;11,80;;
229;GB1;BGR;aug;2012;A;;;;;;8,01;;
230;GB1;BGR;aug;2012;F;31,76;6,78;;;57,33;7,70;;
231;GB2;BGR;aug;2012;A;;;;;;14,11;;
232;GB2;BGR;aug;2012;F;37,57;7,97;;;63,74;8,63;;
233;GB2;BGR;aug;2012;P;36,77;6,34;;;64,65;12,01;;
234;GB2;BGR;aug;2012;S;47,02;8,95;;;79,65;5,48;;
235;GB2;BGR;aug;2012;A;;;;;;7,32;;
236;GB2;EXC;aug;2012;F;;;;;;10,06;;
237;GB2;EXC;aug;2012;P;38,30;6,86;;;67,63;8,19;;
238;GB2;EXC;aug;2012;S;37,70;10,72;;;62,38;5,89;;
239;LV1;BGR;aug;2012;F;;;;;;13,36;;
240;LV1;BGR;aug;2012;P;41,73;6,82;;;69,26;5,49;;
241;LV1;BGR;aug;2012;S;;;;;;4,19;;
242;LV1;EXC;aug;2012;A;23,94;6,89;;;33,99;4,34;;
243;LV1;EXC;aug;2012;H;;;;;;8,21;;
244;LV1;EXC;aug;2012;P;39,09;6,53;;;64,92;7,43;;
245;LV1;EXC;aug;2012;S;;;;;;4,87;;
246;LV2;BGR;aug;2012;P;38,22;6,49;;;65,50;6,14;;
247;LV2;EXC;aug;2012;H;32,42;17,94;;;42,78;5,68;;
248;LV2;EXC;aug;2012;P;;;;;;4,55;;
249;WD1;BGR;aug;2012;P;39,23;6,46;;;67,86;6,06;;
250;WD1;BGR;aug;2012;S;;;;;;3,90;;
251;WD1;EXC;aug;2012;A;;;;;;14,45;;
252;WD1;EXC;aug;2012;H;33,55;18,08;;;44,57;6,32;;
253;WD1;EXC;aug;2012;P;39,63;6,32;;;67,85;6,15;;
254;WD1;EXC;aug;2012;S;;;;;;2,98;;
255;WD2;BGR;aug;2012;P;38,33;6,63;;;67,72;12,72;;
256;WD2;BGR;aug;2012;S;49,51;11,07;;;78,07;5,54;;
257;WD2;EXC;aug;2012;A;;;;;;13,09;;
258;WD2;EXC;aug;2012;H;26,89;12,91;;;39,62;7,19;;
259;WD2;EXC;aug;2012;P;36,13;5,63;;;64,75;10,13;;
260;GB1;BGR;sep;2012;A;;;;;;8,46;;
261;GB1;BGR;sep;2012;F;;;;;;7,17;;
262;GB1;BGR;sep;2012;P;37,50;5,89;;;66,71;8,11;;
263;GB1;BGR;sep;2012;S;;;;;;9,10;;
